Lead Origin,Lead Source,Do Not Email,Do Not Call,Converted,TotalVisits,Total Time Spent on Website,Page Views Per Visit,Last Activity,Country,Specialization,What is your current occupation,What matters most to you in choosing a course,Search,Magazine,Newspaper Article,X Education Forums,Newspaper,Digital Advertisement,Through Recommendations,Receive More Updates About Our Courses,Tags,Update me on Supply Chain Content,Get updates on DM Content,City,Asymmetrique Activity Index,Asymmetrique Profile Index,Asymmetrique Activity Score,Asymmetrique Profile Score,I agree to pay the amount through cheque,A free copy of Mastering The Interview,Last Notable Activity,Engagement_Score,Visit_Category,High_Engagement_Time,Contact_Restricted
Landing Page Submission,Other,0,0,1,13.0,436,13.0,Other,India,IT Projects Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Other Metro Cities,02.Medium,02.Medium,15.0,13.0,0,0,Modified,0.1578132528858442,High (11+),1,0
API,Other,0,0,1,8.0,903,8.0,Page Visited on Website,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Other Cities of Maharashtra,01.High,02.Medium,16.0,15.0,0,0,Page Visited on Website,0.23673140175559887,Medium (3-10),1,0
Landing Page Submission,Organic Search,0,0,0,17.0,409,8.5,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Mumbai,02.Medium,01.High,14.0,18.0,0,1,Modified,0.1405644417907946,High (11+),1,0
Landing Page Submission,Other,0,0,0,11.0,685,5.5,Email Opened,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Thane & Outskirts,03.Low,02.Medium,11.0,13.0,0,1,Email Opened,0.18342001340791486,High (11+),1,0
API,Google,0,0,0,4.0,213,4.0,Other,India,International Business,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Mumbai,02.Medium,02.Medium,13.0,16.0,0,0,Modified,0.06590199652232208,Medium (3-10),0,0
API,Olark Chat,0,0,0,0.0,0,0.0,Email Opened,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Email Opened,0.0,Low (1-2),0,0
API,Organic Search,0,0,1,7.0,1468,3.5,Page Visited on Website,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,0,Modified,0.3437545827833994,Medium (3-10),1,0
API,Olark Chat,0,0,0,0.0,0,0.0,Email Link Clicked,Unknown,Unknown,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,02.Medium,02.Medium,15.0,15.0,0,0,Modified,0.0,Low (1-2),0,0
Landing Page Submission,Direct Traffic,0,0,1,4.0,1435,4.0,Email Opened,India,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Other Cities,03.Low,01.High,12.0,18.0,0,1,Email Opened,0.3347097395931536,Medium (3-10),1,0
Landing Page Submission,Google,0,0,1,1.0,157,1.0,Converted to Lead,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Other Cities of Maharashtra,02.Medium,02.Medium,15.0,14.0,0,0,Modified,0.039297760459221086,Low (1-2),0,0
API,Google,0,0,1,3.0,885,1.5,Other,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,0,Other,0.20360521023191502,Medium (3-10),1,0
API,Olark Chat,0,0,1,0.0,0,0.0,Email Opened,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Other Cities of Maharashtra,02.Medium,02.Medium,15.0,16.0,0,0,Modified,0.0,Low (1-2),0,0
API,Olark Chat,0,0,0,0.0,0,0.0,Other,Unknown,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,03.Low,02.Medium,12.0,14.0,0,0,Modified,0.0,Low (1-2),0,0
API,Olark Chat,0,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Unknown,02.Medium,02.Medium,15.0,15.0,0,0,Modified,0.0,Low (1-2),0,0
Landing Page Submission,Direct Traffic,0,0,0,1.0,1710,1.0,Converted to Lead,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Already a student,0,0,Thane & Outskirts,01.High,01.High,16.0,19.0,0,1,Modified,0.38091676617853476,Low (1-2),1,0
Landing Page Submission,Direct Traffic,0,0,0,4.0,219,4.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Mumbai,02.Medium,01.High,13.0,18.0,0,0,Email Opened,0.0672218381413278,Medium (3-10),0,0
Landing Page Submission,Other,1,0,0,3.0,111,3.0,Email Bounced,India,International Business,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Other Metro Cities,02.Medium,02.Medium,13.0,15.0,0,1,Modified,0.0387027842373201,Medium (3-10),0,1
API,Organic Search,0,0,0,6.0,224,6.0,Page Visited on Website,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,switched off,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Modified,0.07784551568097542,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,0,5.0,224,1.67,Page Visited on Website,India,Operations Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Other Cities of Maharashtra,02.Medium,01.High,13.0,17.0,0,1,Page Visited on Website,0.06119075377621352,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,1,2.0,1071,2.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Lost to EINS,0,0,Other Cities of Maharashtra,03.Low,01.High,12.0,17.0,0,1,Email Opened,0.24511553851633042,Low (1-2),1,0
Landing Page Submission,Google,0,0,1,6.0,595,3.0,Email Opened,India,"Banking, Investment And Insurance",Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,14.0,20.0,0,0,Email Opened,0.14874143674187668,Medium (3-10),1,0
Lead Add Form,Other,0,0,1,3.0,1096,2.0,Email Opened,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Modified,0.2518053547859971,Medium (3-10),1,0
API,Other,0,0,0,4.0,520,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Mumbai,03.Low,02.Medium,10.0,15.0,0,0,Email Opened,0.13343389269478137,Medium (3-10),1,0
Lead Add Form,Reference,0,0,1,3.0,705,2.0,Email Opened,Unknown,Other,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Thane & Outskirts,02.Medium,02.Medium,14.0,16.0,0,0,Modified,0.16579567594745773,Medium (3-10),1,0
API,Google,0,0,0,2.0,393,2.0,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Unknown,02.Medium,02.Medium,14.0,14.0,0,0,Email Opened,0.09597343556868415,Low (1-2),1,0
Lead Add Form,Other,0,0,1,3.0,346,2.0,Email Opened,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Unknown,0,0,Unknown,02.Medium,02.Medium,14.0,15.0,0,0,Modified,0.0868251524102822,Medium (3-10),1,0
API,Olark Chat,0,0,1,0.0,0,0.0,Email Link Clicked,Unknown,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Unknown,02.Medium,02.Medium,15.0,16.0,0,0,Other,0.0,Low (1-2),0,0
Landing Page Submission,Google,0,0,1,3.0,1136,3.0,Page Visited on Website,India,IT Projects Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,01.High,02.Medium,16.0,15.0,0,0,Modified,0.2641757274841305,Medium (3-10),1,0
API,Other,0,0,0,3.0,335,3.0,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Unknown,02.Medium,02.Medium,14.0,13.0,0,0,Modified,0.08797687134686695,Medium (3-10),0,0
API,Other,0,0,0,4.0,75,4.0,Email Opened,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Unknown,02.Medium,02.Medium,14.0,13.0,0,0,Email Opened,0.03554563928519054,Medium (3-10),0,0
Landing Page Submission,Direct Traffic,0,0,0,6.0,97,3.0,Email Opened,Other,Supply Chain Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,1,Email Opened,0.039194582364401986,Medium (3-10),0,0
Lead Add Form,Reference,0,0,1,3.0,1007,2.0,Email Opened,Unknown,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,0,0,Mumbai,02.Medium,01.High,14.0,20.0,0,0,Modified,0.23222770410407892,Medium (3-10),1,0
Landing Page Submission,Organic Search,0,0,0,2.0,1085,2.0,Converted to Lead,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Other Cities of Maharashtra,02.Medium,02.Medium,13.0,14.0,0,1,Modified,0.2481951689606771,Low (1-2),1,0
API,Organic Search,0,0,0,3.0,214,3.0,Page Visited on Website,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,0,0,Unknown,02.Medium,02.Medium,15.0,15.0,0,0,Modified,0.061360065363584945,Medium (3-10),0,0
API,Olark Chat,0,0,1,6.0,1158,1.5,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Unknown,0,0,Other Cities,02.Medium,02.Medium,15.0,14.0,0,1,Email Opened,0.26722943246810377,Medium (3-10),1,0
Landing Page Submission,Google,0,0,0,4.0,101,4.0,Email Opened,India,Finance Management,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,02.Medium,01.High,15.0,18.0,0,0,Email Opened,0.04126495296754865,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,9.0,838,4.5,Email Opened,India,Other,Unknown,Unknown,0,0,0,0,0,0,0,0,Unknown,0,0,Mumbai,02.Medium,02.Medium,13.0,15.0,0,0,Email Opened,0.21112359374017975,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,0,0,0,3.0,536,3.0,Other,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Mumbai,03.Low,01.High,9.0,18.0,0,1,Modified,0.13219156558355855,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,0,0,0,4.0,161,2.0,Other,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,0,0,Unknown,03.Low,01.High,12.0,17.0,0,0,Other,0.047320512014748704,Medium (3-10),0,0
Landing Page Submission,Google,0,0,0,2.0,511,2.0,Other,India,Other,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Mumbai,03.Low,02.Medium,9.0,15.0,0,0,Modified,0.1219303207424633,Low (1-2),1,0
API,Olark Chat,0,0,0,0.0,0,0.0,Olark Chat Conversation,Unknown,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Other,0,0,Unknown,02.Medium,02.Medium,15.0,15.0,0,0,Modified,0.0,Low (1-2),0,0
API,Google,0,0,1,5.0,1110,5.0,Olark Chat Conversation,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Unknown,01.High,02.Medium,16.0,16.0,0,0,Modified,0.26798022332558186,Medium (3-10),1,0
Landing Page Submission,Direct Traffic,0,0,1,5.0,1563,5.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,0,0,Mumbai,02.Medium,01.High,15.0,20.0,0,1,Email Opened,0.36762826556051365,Medium (3-10),1,0
API,Other,0,0,0,7.0,1633,3.5,Converted to Lead,India,Unknown,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,0,0,Unknown,02.Medium,02.Medium,14.0,13.0,0,0,Modified,0.38005022730605664,Medium (3-10),1,0
